标题,策略,自然,经济,社会,政治,文化,图,文,物,场,演,媒,事,业,相关主体,描述,关联项
特别礼物图鉴 ,全息,,,,国际关系/外交,礼物/纪念,图文小册,,,,,,集邮,,-,新中国第一根无缝钢管，被工人们当作生日礼物送给了毛主席，他和工业史上其他特别的礼物一同构成一本可供观众自由集邮、剪贴的册页。叠加二维码，在线上空间详细了解礼物背后的技术与故事。,
无形之手 ,全息,,,,国家政策/规章制度,,,,,,,游戏,沙盘经营,,@江南百景图,用户作为第三视角控局者，通过各种操作促进NPC之间的沟通协作，保证政策的上传与下达、统筹与落地，观察NPC生活的方方面面，在以上海为中心的新中国工业发展进程中，感受各类规章制度以及他们如何深入到社会生活的神经末梢。,
能源2：钍基熔盐反应堆,全息,,商船,,核能,,图解分析,,剖立面模型,,,,,,@中国科学院上海应用物理研究所@中船集团,"第一次将核反应堆（钍基熔盐反应堆）运用在大型商船上，船本身设计就与其它集装箱货轮不同，因此内部结构就大不相同

将船竖向剖开，展示剖面，但剖面可以可以通过模型将船身结构立体展示出来，包括核反应堆在整个船的动力系统中的位置和空间分布

还可以展示其它国家的核动力船的剖面结构，或者同类型货轮的剖面结构",
下五洋捉鳖2：深海驾驶,全息,,,,蛟龙号/尖端技术,载人作业,,,蛟龙号模型,,,数字屏幕,模拟驾驶,,@702研究所@中船集团,"还原一个1:1并且可以操控驾驶的蛟龙号载人潜水器

可以通过观察窗口上模拟蛟龙号下潜时环境的变化，在探寻时周围环境也可以根据选择地点变化而呈现相对应场景。

同时反馈数据可以从蛟龙号自身技术—自动巡航、悬停定位、水声通信等，进行相对应的反馈",
口述史高频词 ,全息,,,,三线建设,口述史/数据分析,数据可视化,口述文本,,,,,,,@中国美术学院@三线建设相关联络单位,处于连续自滑动状态的文本，关键词在文中被圈画出，与右侧数据分析的结构相对应。当语言成为了解历史的唯一载体，特定词汇的使用频率即映射出特定事物在人们观测范围内的出现频率。,
从新40火箭弹到中国的仿制品 ,全息,,军工/仿制品,,"三线建设
苏联援建",,交互图解,,,,,找不同,,,@中国美术学院@三线建设相关联络单位,三线建设时期技术封锁背景下的夹缝求生。军工产业出现了一批作为仿制品诞生，但质量过硬的中国山寨货。,
萦绕在三百五十座城市的上海话 ,全息,,,工人精神,"三线建设
政治工业",工业史,三线建设老照片,文本,,声音场域,,"口述声音采样
Ai 人像生成",口述史工作坊,,@仪电 @中国美术学院@三线建设相关联络单位,"1960年开始的三线建设
是当时中国总投资最多、时间跨度最大的国家工程
上海作为当时中国最重要的工业中心
义不容辞的承担起援建三线的任务

超过百万的上海师傅们带着技术带着家眷
参与到西部腹地三线建设中去
很多人再也没有返回上海
时至今日，在中国西部很多偏远城镇
仍然有人能讲上海话

抢救性采集如今三线建设区域内的工人口述与声音
以留在三线的上海人口述史，理解与串联三线建设的历史",
新中国第一根国旗旗杆,全息,,,工人精神,苏联援建/开国大典,,,,,,,,互动工作坊/收集/定向越野,,@鞍钢无缝钢管厂@上海工业博物馆,将开国大典上的国旗系统制成积木模型，它的各部分散落在工博馆内各个不同的相关板块，需要由观众自行规划路线并寻找收集。集齐部件后，回到工作坊空间召唤神龙。以超出标准的效率完成整套流程者可获得额外奖励（情境还原：第一根旗杆的制作是感开国大典DDL的）。,
与视察的领导同行,全息,,,,苏联援建/三线建设/改革开放,,,,,,角色扮演,解谜游戏/密室逃脱,,,-,担任国家领导人身边的保镖/秘书，途中收集道具、线索与证物，解开关于此地的一个个谜团（外来者与本地人之间的信息差），达成通关目标。,
像素大战 ,全息,,,工博社区,,数字文化,数字绘画,,,,,网页,活动事件,,@上海工业博物馆,,
来自上海的周末工程师,全息,,,工人精神,,工业史,,虚构文本,"工具实物
",场景微缩模型,,声音,,,@中国美术学院跨媒体艺术学院@风语筑,"上世纪90年代
上海企业的技术人员
有时会利用周末时间
去上海周边的江浙工业园区工作
被称为“周末工程师”

工程师的随行的工具箱
都藏着一个个故事(通过微缩模型）",
工业细胞：一个微缩世界,全息,,弄堂工厂/民营经济,工业化进程,,,局部弄堂经济地区地图,,,微缩模型世界,,,,,@遗留弄堂,"自然细胞有自己的基础模型—细胞质、细胞液、细胞膜......
同样弄堂工厂也包括生产、仓储、居住、商业等功能

以位于余姚路与海防路及西康路间的同乐坊为参照
制作一个微缩世界模型，将弄堂工厂的经营模式融入其中
展示弄堂作为“细胞”的单位结构是如何的
在整个地区经济中是如何运行的",
伟大的餐具·工业设计史,全息,,新零售,工业设计史,,,,,餐具,博物餐厅,,,,,@独立艺术家@摩登上海@百联 ,"1、民以食为天，餐具的演变往往映射了时期工业情况的变化以及社会的形式。
2、复刻历史上有代表性的餐具，用在管道餐厅中。","《管道餐厅》《up主计划》
《口述史》
"
工业史的尺度 ,全息,,工业时间轴,人,,时间感知,交互图解/10的n次方,,,,,,,,@中国美术学院,假如脱离以阿拉伯数字为表达形式的概念化时间丈量方法，我们作为人类如何从更加亲近身体经验的视角去感知？若以人的寿命充当丈量时间的模数，世界范围内的工业史也不过刚刚经历了两三代人，又该如何看待工业史在人类史中的位置、人类史在地球史中的位置、地球史在宇宙史中的位置？,
--改造二流子,全息,,延安大生产,人/时代风貌,,,,,,,戏剧展演,,工作坊,,-,延安大生产运动中，时有群众会对队伍中的“变节者”进行劳动改造与思想改造。基于王式廓的油画《改造二流子》改编戏剧，在工人剧场，开源参与。,
不同时期的眼神 ,全息,,,人/时代风貌/工人精神,,数字工博,,,,,,交互网页,数据库,,,链接到集体照界面与工业史的尺度界面，与网页进行互动。以10的n次方的放大镜模式快速生成不同时期的眼神矩阵，通过阅读眼神来概览一个时代。,《从集体照中找到我》《工业史的尺度》
工博电力回收系统 ,全息,,电力                         能源回收,日常,,,,,太阳能模块            能量回收步道,,,,,,@上海工业博物馆@Pavegen,"部署工博互动装置以及日常电力回收转化系统
eg.利用太阳能模块-充电桩供电
能量回收步道（如图）联动工博账号积分系统
展区交互性展品电能回收",Pavegen动能回收智能地板系统https://www.pavegen.com/
爱达·魔都,全息,,游轮工业,社会娱乐,,航海文化,剖面图解,文本,剖切模型,,,,,,@风语筑 @中国美术学院@中船集团,"一堵墙的两面

一面是被剖切了一半的爱大魔都模型
透过镜面镜面反射看到一个完整的爱达魔都号

一面是剖切后的爱大魔都图解
船上事件被投射到图解之中",
换种方式启动机器,全息,,"产品设计
",物联网,,"物导向本体论
非人类中心",,,"交互装置
",,"参与式艺术
",,工作坊,,,"反思物与人的关系
物，包括人造的机器
具有独立与人存在的属性

凯利·多布森（Kelly Dobson）
就曾经做过这样的尝试
一台需要你模仿机器声音才能启动的机器
中断了人们对机器的无意识使用
以非人类中心的交互方式来反思人与机器的互动关系
",
工业-杂交,全息,,工业门类,,,科普,,,互动装置,,,,数字藏品,,,观众选择任意一种或多种工业门类，索引到包含这门工业的工业产品中——自挖掘的NFT。解锁图鉴（实为工业门类谱系）、在互动系统中与其他用户进行藏品交换，助力全收集目标达成。,《众筹：工业4.0孵化》
演奏机械,全息,,工业遗产,,,音乐,,,模型复刻,,,声音,,,,利用机械不同部件被敲击时的不同声音，进行即兴的再组织/按照既有模板演奏。声音采样：固定的几种部件+对应的不同敲击工具，来保证大众操作时同一部件发生的一致性与不同部件的差异性。演奏模板可以是小图解形式。,
拖拉机星际垦荒,全息,,工业遗产/控制台,,,,,,互动装置,,,体感交互/游戏,,开荒,@上海拖拉机厂,观众置身“丰收35”拖拉机物理驾驶舱内，进入数字开放世界。你是1960年代上海七一拖拉机厂的一名工人，在第一台丰收35问世之际，引发了时空乱流，你被卷入其中，来到了一颗完全陌生的星球，只有让丰收35拖拉机完成他的使命，在这颗星球上达成丰收使命，才有机会再次打开时空，回到地球（在成功回家与被卷入另一个星球之间，随机跳转）。关卡选择：从星系中选择自己想要降落的星球。通过支持体感操控拖拉机进行开荒建设，利用拖拉机的高延展性改造装备；收集线索，想办法获取外星文明的资源与支援；在太空灾难和不同星际势力的纷争中，保全自己，达成不同的任务目标。,
汉字突围1：字体设计,全息,,工业印刷,,,汉字设计,,字体设计,,,,,研学课堂,,@上海印刷集团@上海印刷技术研究所,"五步创新法
稿—划—勾—填—描

用研学课堂让人们学习印刷字体的设计过程
用特定的方格纸
让游客体验创新设计字体
思考如何设计出符合印刷的字体",
发明味道:可食用香水,全息,,食品工业/添加剂,,,香水,,,可食用香水/嗅觉体验,,,,,,,"食物气味与香水结合
开发特定食物香味的香水

同时
香水可以作为一种调味品
可以改变食物的味道",
金属拓印,全息,,印刷业,,,,,,工业零件  ,,,拓印,,,@社会公众,用各种金属零件结合油墨制作拓印图像,
用各种工具打开苹果,全息,,,,,工具,,,苹果/工具箱,,,,打开一颗苹果,,@摩登上海@百联,"1、如何优雅的打开一颗苹果，动用手边的工具
2、讨论工业与自然的关系，以及这件工具的前世今生
3、发起苹果挑战，对应工博社区
赢得苹果种子，回馈工博森林","《工博森林》
《up主计划》"
秘密指示：胡子标注方向,全息,,,,,,导视信息,,海报,,,,,,@上海工业博物馆@百联,"1、用海报人物的胡子来标注行进方向/道路情况
2、胡子上翘表示前方可通行
胡子下指表示前方道路不通
3、在博物馆内作为导视系统进行运用",《管道餐厅》
摩登月份>>工博月刊,全息,,,,,,月份牌,,月刊,,,,,,@百联 @上海百货@铜版印刷工作室,"1、创办工博月刊，分线上和线下纸刊两个形式
 2、数字分身/在线上定期发行，线上数字分身会偏向刊登数据类信息，比如蚁巢讯息、身份系统更新等
3、工博月刊包括每个月的展项汇总、活动汇总
线下可以联合插画大v去发行月份牌
","《数字工博的身份系统》
《工博大v》"
博物兑货>>>积分系统>>>身份系统,全息,,,,,,,,,,,纸媒票券,,积分系统,@百联 @上海百货@铜版印刷工作室,"1、实物的碎片>>>线下的参与
像宝可梦一样去捕捉
 2、成果-数字分身/线上符号
3、具体指向生产与再生产
两种对应的票券合成一个积分强调全链的概念
可以用来链接一些环保点子
4、合成的积分可用来兑换食品或饮品
",《公共视屏》
从精准到更精准：金属“乐高”,全息,,,,,标准化/精度,,,金属积木/榫卯,,,,,,@乐高,"不同尺寸的
由高精度制造设备制作的可以拼装的金属榫卯玩具

东方乐高

鲁班锁
二十四锁
笼中取宝
斗拱建筑结构

......",
工业之米1：星丛螺钉,全息,,,,,螺钉分类/功能,,,解构工业品,激光矩阵,,,,,@上海工业博物馆,"通过解构方法，还原一件工业品的螺丝钉布局

螺丝钉的形态和功能千奇百怪，因此一个完整的工业品里面的螺丝钉种类也不仅仅只有一种，甚至上百种

以一辆标准的工业汽车为例，通过解构的方式，将其它部件透明化，用激光将螺钉的位置强化出来，螺钉此时的状态是处于“工作”时的状态

整个作品展现螺钉功能的多样性和复杂性",
工业之米2：螺钉家族,全息,,,,,螺钉家族,螺钉谱系,,功能展示立面,,,,,,,"螺钉谱系
螺钉是由钉头和钉杆组成的，不同的钉头和钉杆可以排列组合成不同的螺钉，同时也对应着不同的功能和用法

展示立面
将螺钉家族谱系化，将它们按照自身的用法和状态，用一块巨大的透明立面展示",
工业之米3：螺钉展具,全息,,,,,螺钉家族,,,交互式展具,,,,,,,"可动墙面的路标是抽斗。如果微小的抽斗大量堆积起来，就能自由地操作墙面。使用方法是自由，可以直接与人发生互动

而且将不同类型的螺钉置于抽斗当中，既可以作为一种陈述方式，其本身也是一种展具，展陈一体",
发射一颗卫星2:卫星上的动画,全息,,,,,卫星/动画,,,,,,数据传感,影像创作,,@航天八院@社会创作人员@中国美术学院,"以工博馆为平台，汇集科技、动画、生物、绘画等各领域的人，建立一个“人—卫星—人”的信息交互

卫星可以收集数据，将数据发送到地面，人们可以围绕数据进行不同的创作。同时，人们也可以将创作后的素材发送到卫星上进行播放。二者间形成一种平衡",
Project SEEd：人工智能理解的未来,全息,,,未来学,,数字工博/虚拟展览,,,,,,互动模型/虚拟展览,,,,"由计算机对未来博物馆房间中的数据进行统计归类、排列重组，生成若干不同的世界种子，也即不同的专题展模块。

Project SEEd作为未来博物房间的体验端，观众可以在探索虚拟展览的过程中，感知计算机看到人类散点的方式与人机合作的可能性。

项目旨在理解机器算法的背后逻辑，以及以统计学视角理解大众视角下的未来性。",《未来博物房间》
找找金字旁,全息,,,,,汉字,,,,,,图解                         交互装置,,,"@上海工业博物馆@中华汉语言文字研究院
","对于汉字中含有金字偏旁部首的字
进行释义和关联性的图解

以交互图表的形式与参观者进行互动
",
平底锅与民族工业,全息,,新零售,,,,,,平底锅,博物餐厅,,,,,@综艺工业@摩登上海@百联,"1、从钢铁之锅到家用之锅，是一种战时语境叙事，是从军工到民生的转变。
2、以日常之物背后的非日常性来解读民族工业的产物。
3、可以作为一个系列的一个小支点。",《管道餐厅》
工业革命的遗存：现代社会的非公度量衡,全息,,,现代工业,,传统度量衡,,,横向对比,,,历史发展,,,@不同工业领域,"不同地区、时代都有不同的单位衡量
同一件工业物品
相同的数字
不同的单位
将它们放在一起进行比较

直观的感受单位不一带来视觉上的差距",
口述史：中国电网人 ,全民,地理与能源,"能源
电力工业
",工人精神,跨区域工程,一带一路,,,,声音场域,,口述影音采样,,,@国家电网 @自媒体博主,"中国电网拥有全球最大的供电网络
服务着超过13亿人口
覆盖了几乎所有的城市和乡村
离不开背后亿万电路工人的辛勤劳动

Up主共创采集区域内电力工人的口述与图像

并置

",
工博工业电台 ,全民,无线电,广播广告,"工业社会
大众传媒
电台",,,,,,,,声音,,,@ 上海档案馆@上影厂博物馆@上海无线电博物馆@上海工业博物馆@中央广播电视总台,"1、中国电台和收音机起源于上海滩
中国收音机100年史，背后是集成电路的发展史

工博工业电台的建立
结合展览内容有固定栏目和众创栏目

科普收音机百年史
口述史
......

2、集体大生产时期的工厂广播
日常都在播放什么？

报时的消息？
临时通知的活动会议？
社会事件新闻？

上海工业博物馆的馆内广播
工厂时代的回响
",
老电影胶片机放映 ：电影放映员 ,全民,,,工人精神,三线建设,电影,,,,,,,工作坊/角色扮演,,@三线建设相关联络单位@电视台@电影院,在电台和电影作为仅有文化传播方式的年代，流动电影放映队承载了思想教育、政治宣传和休闲娱乐的重要功能。放映队员们四处奔波下基层，将自己奉献给祖国的宣传事业。参与者将以放映员的角色，在驻场师傅的指导下处理电影放映中的各种操作性问题，参与剧场中的电影放映。,
百年光影：上海电影百年 ,全民,,电影工业,大众传媒,,,,,,,,历史影像,,,@上海电影制片厂@上海美术电影制片厂,"上海电影产业的发展史长达百年
作为中国最重要的电影制作中心之一
上海在中国电影工业中始终扮演着核心角色
记录了中国社会的变迁与发展

从20世纪初的工业化起步，到现代化工业的迅猛发展
上海的工业繁荣为电影业提供了坚实的经济和技术基础

时至今日，在中国的电影行业中
仍然能感受到上海电影的影响与传承

上海电影百年档案-电影讲解",
退休职工·工博志愿者,全民,,,工博社区,,,,,,,,,运营机制,,,"邀请退休职工在工博馆内担任志愿者

可以介绍具体机器的用法
可以发起口述史工作坊
可以成为工博馆内的导游
……",
swap故事会 ,全民,,,工博社区,,"创客文化
车库文化",,,工业物品,,,,活动事件,,@上海工业博物馆,"持有机器小零件或小玩意 并附上相关故事上传
设置专门展示区和故事分享墙
每月评选最有趣故事并进行故事分享会
通过流媒体直播和线下座谈向公众分享

",
emoji口述史,全民,,,工人劳模,,,人物头像,口述史,,,,多媒体投放,人机交互,,@上海商务印书馆@摩登上海@百联 ,"1、脸是一种符号，如果每个人的脸都是一个符号，这些符号排列在一起，就组成了真·脸书
2、与展项、口述史、劳模都可以进行串联
3、可以作为一个单独的展项存在","《up主计划》
《口述史》"
工博月捐>>>工博义肢计划,全民,,,公益,,,,,义肢,,,,,,@上海工业博物馆@百联,"1、发动线上工博月捐活动
2、募捐到的钱用来完善工博森林
3、募捐到的钱用来支持义肢项目",《工博大v》
未来考古,全民,,,开源策展,,数字工博/虚拟展览,,,,,,互动模型,社会叙事/开源共创,,,基于问题“你希望未来考古学家从这个时代发现什么？“观众pick库中已有的/自主上传数字藏品/自拟关键词提交，由AI自动生成相应的房间，每个房间作为类似像素的基本单位，在随机位置生长，不断扩充开源模型。,《Project SEEd：计算机如何看待》
劳动者之声：一段简短的对话,全民,,,劳动工人,,工人精神,,虚拟文本,,,,互动数字屏幕,,,@不同劳动场所@关联工业单位,"以运作的机器、劳动的人民等为主题
编写一段，或多段能反应一种或多种的对话
其中包含工人精神

用不同，且可以互动的数字面板拼接
每一块面板对应着一种声音
可能包含多端虚构对话，游客可以通过点击了解，阅读对话后了解声音的来源和背景

以万吨水压机为例，对话可以是工人操作时的指令，声音则来自水压机根据指令操作后发出的巨大声响",
从集体照中找到我 ,全民,,,人/集体照,,,,,面捕装置,,,交互网页,,,,"扫描在场中年观众单人面孔，通过大数据人脸识别技术，索引出包含此人或长相最接近者的集体照。另一种盲盒体验。叠加时空、事件与声音信息。

找父辈 征集集体照 
墙的一面是征集到的集体照
反面写上各个人的名字 名字可以不断更新
",《不同时期的眼神》《集体照回收计划》
集体照回收计划 ,全民,,,人/集体照,,数字工博/自我策展,,,,,,,数据库,,@上海工业博物馆@社会公众,后台集体照回收计划：开源收集个人或组织自主上传的各类集体照。,《从集体照中找到我》
工业剪报,全民,,工业史,,,拼贴诗/报纸,历史报刊影像,虚构文本,,,,AR互动,,,,扫描报纸，进行蒙太奇拼贴 ,
自行车慢赛,全民,,,社会康体,,,,,,,,,活动事件,,@上海工业博物馆@凤凰牌自行车,"在大生产的年代
工厂承担着生产以外的大众日常生活娱乐

举办工厂运动会
比如：
比比谁骑得慢",
设计软件·程序设计工作坊,全民,,,,,"工业设计
工业软件",,,,,,,工作坊,,,"“聚焦开发具有自主知识产权的关键设计工具软件
建设完善创新设计生态系统的目的”

进行开源软件的线下工作坊
可以是针对设计流程，开发有效工具
可以是结合具体的造物，开发有效的交互软件",
工业版·清明上河图,全民,,,参与式展览,,,图解长卷,虚构文本写作,,,,交互界面,,,,"运河到铁路到航线
“河道”的隐喻对应着工业中的流通

工业文明的超时空拼贴
长卷画面的独特叙事方式
介入交互式的屏幕
观众成为工业“上河图”中的一员",
金手指计划,全民,,,开源策展,,,,,指套,,,,人机互动,,@观众@上海工业博物馆 ,"1、观众佩戴特定的指套，可以和屏幕类的展项进行互动
2、指套可以用工博积分兑换
3、可以激发小白的好奇心，宣传工博的积分系统
","《机动博物商店》
《收集癖》
《工业面孔》"
车库工业计划：工博工具箱,全民,,,,工博积分,,,,工具箱,,,,,,@观众@上海工业博物馆 ,"1、只能通过积分兑换，工博专属工具周边。
体现为实体的工具箱。
2、可联动重器，随展项推出限定版工具周边。","《收集癖》
《打开一个苹果》
"
快闪剧场,全民,,,开源策展,,名人效应,,,,,npc解说,,,综艺工业,@百联 @上海百货@收银机,"1、一些知识生产者进到工博馆内之后自己来组织流线
2、他们带着一批观众作为一个npc
带着观众快速定位到大家想了解的知识和信息
3、npc可以获得类似志愿者时长的证明","《工博大v》
《工博蚁巢》
《综艺工业》"
十万个为什么计划 ,全民,,,工博综艺,,工业史,,,体感装置,,多人街机,,互动答题,,,简单的图像选择与判断，通过身体控制互动装置完成答题。根据题型不同，设置不同的答题区域与模式；可竞速，类音游玩法；擂台制，立式屏幕实时转播赛况；观战者可进行互动（发送Emoji、更改显示、甚至由观战方进行模式选择）。每轮挑战结束，基于动捕技术生成风格化跳舞视频。,
金属板上留下自己的痕迹 ,全民,,巨型金属板锻造,参与式展览,,,,,实物,,,,,,@上海工业博物馆,"用任何方式 
试着在金属板上留下自己的痕迹 

通过参与者在不同金属板材上留下痕迹的互动展示 
探索人类对工业化进程中各种金属材料的应用与改造 
引导观众对工业化对社会和环境的深远影响进行反思 ",
收集彩蛋,全民,,,参与式展览,,,,,实物/虚拟,分布式,,声音                   增强现实,,,@上海工业博物馆,"场馆内散落各种小彩蛋（小微场景模型） 
集齐召换小奖品

可以是微缩模型场景展示
DIY拼装体验
AR合影点
声音邮筒
...... ",
展品表情记录,全民,,,参与式展览,,,,,,,,参观者表情采样,,,@上海工业博物馆,"收集同一个人看每一个展品时的表情
将得到一个自己的看展心路历程合集

最后可以统计在每个参观者自己的数字工博账户中
可以统计整合出最受欢迎的展品......",
机器舞大赛,全民,,,社会娱乐,,,,,,,,声音                        肢体动作,活动事件,,@小红书@抖音,"扮演机器 
对他们的声音或运作的动态发起模仿
短视频平台发视频带
tag：#COS机器挑战
",
综艺工博 ,全民,,,工博综艺,,,,,,,,综艺,,,@上海工业博物馆@互联网视频平台,"以工业为主题设置相关综艺
或与已有综艺IP进行联名，推出系列主题综艺
联动短视频平台进行直播",
全民制作人,全民,,,社会叙事,,工业音乐                合成器,,,,,,声音,活动事件,,@bilibili@抖音,"通过流媒体发起活动
录制一段身边任何（机器运作时）声音并上传
口袋合成器-大众版
辅佐算法共创生成一段旋律、一首曲子
也可以共创一首协奏曲

多话题性
#全民制作人",
城市剧场,全域,,,,,,,,,,,,,,,,
工业历程纪念碑,全域,,,节日文化,,节日文化,,纪念词,纪念碑,公共文学创作,,纸媒,,,@综艺工业@摩登上海@百联,"1、在展览中留出一面墙，给观众们题写文字
2、题写主题为纪念工博纪念日（工博发布会）
3、红底金字，形成一个地标性的打卡墙",《up主计划》
一个海运集装箱的全球轨迹 ,全域,全球地理,"海运
集装箱
全球经济",,,标准化,"历史图像
",虚构文本写作,,,,"延时摄影
影像剪辑
声音",up 主叙事,,@影视飓风 @中船@洋山港,"随着海运
从洋山港出发到阿姆斯特丹港的延时影像

叠加地理-时间信息
叠加历史与虚构的事件
叠加图像
叠加影像
叠加声音
……",《探底海底地形》
下五洋捉鳖1：深海模拟,全域,"深海环境
水层信息",高端装备,,"海域军工
蛟龙号",深海摄影,,,,光色融合,,全息数字投影/水层,影像创作,,@702研究所@中船集团,"根据蛟龙号下潜的地点、深度、时间等层次，可以根据“影像创作计划”对环境进行个人创作，再用360度环形屏幕进行投影播放

全息投影将整个场景进行数字融合

深度转换
不同深度、不同地点都有不同的场景氛围，以此还原蛟龙号下潜的氛围感",@影像创作计划
黄埔江探底工作坊,全域,黄埔江,水下探索设备,,,水下地形地理,,,水下无人机,,,,无人机工作坊,,@上海工业博物馆,"无人机帮助探索深空高空深海深谷等等，
采集数据，以帮助理解客观世界
无人机工作坊旨在通过无人机这一高度交互的机械，
理解人机自然的关系。

课程划分为
1、",
大·广告牌： 飘浮 ,全域,,消费符号,"传播
",公共图像,热气球工业,,,热气球,博物馆,,巨型广告,,,@热气球@摩登上海@百联,"1、临时性快闪
 2、呈现为漂浮的巨大广告牌，宣传新的快闪展项信息
3、以热气球的形式存在
","《热气球》
《摩登上海》"
 大·广告牌：水上,全域,,消费符号,传播,公共图像,,,,充气漂浮,水上,,巨型广告,,,@热气球@摩登上海@百联,"1、临时性快闪
 2、呈现为漂浮的巨大广告牌，宣传新的快闪展项信息
",《摩登上海》
公共休息区的视屏 ,全域,,,公共休息,,,,,桌椅,,,小电视,,,@观众@上海工业博物馆 ,"1、公共区域的桌子或椅子等休息载体
 2、实时联动的屏幕
 3、展厅内展项视频的投放
或观众自己拍摄的观展视角
4、观众可以弹幕进行评论
5、多平台联动","《机动博物商店》
《工业物流》
《管道餐厅》
《up主计划》"
自动驾驶·博物车,全域,,"机动业态
博物经济",,,自动驾驶,,,机动展具,,,,,,,,
上海·牌,全域,,商业符号,,,"工业文化
符号",Logo 图像,,,,,,,,@上海工业博物馆 ,"在上海的各处
搜集关于“上海”的不同字样、图案

在“工业之门”的卷筒屏幕上
在户外景观的地面上
 在博物馆的文创品上
……",
工博作弊码,全域,,,,,,,,,,,,运营机制,,,"电子游戏是计算机信息技术发展的重要一环
而游戏作弊的历史几乎与游戏的历史一样悠久。
早期的作弊码帮助开发者在测试过程中跳过某些关卡或获取特殊能力，以节省时间并全面检查游戏的各个方面。

“作弊码”作为一种彩蛋，
比如一些空间的捷径
比如可以获得一笔工博积分的某个特殊行为与事件
……",
活点地图 ,全域,,,,,,,,,,,,,,@上海工业博物馆@百联," 1、一个线上实时共享位置的活点地图
2、即使用户不在现场
也可以通过线上活点地图查看实时展项的更新状况","《公共视屏》
《数字工博》"
,全链,环保公益,"数字经济
",数字孪生,,人类世,,,废品种植,,,,运营机制,"植物业态
绿色生活业态",@观众@上海工业博物馆,"1、打造生态工业环境，打破传统工业印象，为工业添一抹绿色
2、可以线上用积分兑换工博种子，线下进行种植
3、可以线下用回收玻璃瓶作为盆栽容器，进行种植","《收集癖》
《工博玻璃瓶》"
